epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3642.24,1.0456,0.67298,1.55256,0.95462,0.96331,0.9841,0.79702,0.80718,0.54705,1.52299,0.005842,0.005842,0.005842
44,3727.73,1.04523,0.671,1.55071,0.95286,0.9644,0.98438,0.80143,0.78723,0.54542,1.52913,0.005743,0.005743,0.005743
45,3812.66,1.03669,0.66689,1.54484,0.95265,0.9644,0.98543,0.80566,0.78539,0.54802,1.50984,0.005644,0.005644,0.005644
46,3899.5,1.03255,0.66176,1.54393,0.95301,0.96502,0.9843,0.80444,0.7745,0.54348,1.52226,0.005545,0.005545,0.005545
47,3984.28,1.0374,0.66131,1.54139,0.95284,0.96523,0.98433,0.80367,0.7756,0.54293,1.50697,0.005446,0.005446,0.005446
48,4069.18,1.02133,0.65838,1.54338,0.9528,0.96326,0.98466,0.80298,0.77824,0.54022,1.51597,0.005347,0.005347,0.005347
49,4154.12,1.01855,0.65604,1.54374,0.95461,0.96342,0.98512,0.80879,0.76722,0.53749,1.51619,0.005248,0.005248,0.005248
50,4238.67,1.0143,0.65479,1.54135,0.94564,0.96461,0.98138,0.80611,0.7731,0.54121,1.51264,0.005149,0.005149,0.005149
51,4324.4,1.00654,0.64507,1.54077,0.95239,0.96326,0.98409,0.81276,0.75585,0.53539,1.51509,0.00505,0.00505,0.00505
52,4408.77,1.01012,0.65011,1.53307,0.95411,0.9631,0.98441,0.80925,0.76174,0.53374,1.51313,0.004951,0.004951,0.004951
53,4492.95,0.9986,0.63985,1.53315,0.9541,0.96412,0.98525,0.81242,0.76,0.52903,1.50486,0.004852,0.004852,0.004852
54,4576.32,0.99856,0.64223,1.5319,0.95194,0.96384,0.98252,0.81415,0.74529,0.52862,1.51026,0.004753,0.004753,0.004753
55,4659.74,0.98703,0.63689,1.53758,0.95249,0.96186,0.98376,0.81498,0.74974,0.52589,1.51667,0.004654,0.004654,0.004654
56,4742.73,0.98035,0.637,1.53202,0.95359,0.96459,0.98539,0.81515,0.74865,0.52503,1.50261,0.004555,0.004555,0.004555
57,4825.57,0.98276,0.63522,1.53179,0.95809,0.96665,0.98642,0.81936,0.74682,0.51729,1.50494,0.004456,0.004456,0.004456
58,4909.19,0.977,0.63132,1.53282,0.95609,0.96367,0.9852,0.81569,0.74229,0.51864,1.51439,0.004357,0.004357,0.004357
59,4992.16,0.97404,0.62968,1.53568,0.95437,0.96435,0.98536,0.81776,0.74111,0.51722,1.5154,0.004258,0.004258,0.004258
60,5075.03,0.96696,0.62647,1.52991,0.95759,0.96611,0.98657,0.8222,0.73446,0.51051,1.51938,0.004159,0.004159,0.004159
61,5157.4,0.96424,0.62754,1.53365,0.96094,0.96393,0.9861,0.8207,0.73408,0.50961,1.51726,0.00406,0.00406,0.00406
62,5240.1,0.96065,0.62423,1.53047,0.95681,0.96549,0.98599,0.81991,0.73161,0.50865,1.51277,0.003961,0.003961,0.003961
63,5322.36,0.95398,0.62143,1.53102,0.95674,0.96485,0.9858,0.82163,0.72716,0.50725,1.51343,0.003862,0.003862,0.003862
